Co-58,-1.134E-07,1.0
Co-60,-4.168E-09,1.0
Kr-85,-2.049E-09,1.0
Kr-85m,-4.297E-05,1.0
Rb-86,-4.300E-07,1.0
Kr-87,-1.514E-04,1.0
Kr-88,-6.782E-05,1.0
Sr-89,-1.589E-07,1.0
Sr-90,-7.542E-10,1.0
Y-90,-3.008E-06,1.0
Sr-91,-2.027E-05,1.0
Y-91,-1.371E-07,1.0
Sr-92,-7.105E-05,1.0
Y-92,-5.441E-05,1.0
Y-93,-1.906E-05,1.0
Zr-95,-1.254E-07,1.0
Nb-95,-2.282E-07,1.0
Zr-97,-1.139E-05,1.0
Mo-99,-2.917E-06,1.0
Tc-99m,-3.199E-05,1.0
Ru-103,-2.042E-07,1.0
Ru-105,-4.338E-05,1.0
Rh-105,-5.445E-06,1.0
Rh-106,-2.318E-02,1.0
Sb-127,-2.084E-06,1.0
Te-127,-2.059E-05,1.0
Te-127m,-7.360E-08,1.0
Sb-129,-4.458E-05,1.0
Te-129,-1.660E-04,1.0
Te-129m,-2.388E-07,1.0
Te-131m,-6.418E-06,1.0
I-131,-9.978E-07,1.0
Te-132,-2.462E-06,1.0
I-132,-8.371E-05,1.0
I-133,-9.257E-06,1.0
Xe-133,-1.529E-06,1.0
I-134,-2.196E-02,1.0
Cs-134,-1.065E-08,1.0
I-135,-2.912E-05,1.0
Xe-135,-2.118E-05,1.0
Cs-136,-6.123E-07,1.0
Cs-137,-7.322E-10,1.0
Ba-139,-1.397E-04,1.0
Ba-140,-6.273E-07,1.0
La-140,-4.787E-06,1.0
La-141,-4.899E-05,1.0
Ce-141,-2.468E-07,1.0
La-142,-1.249E-04,1.0
Ce-143,-5.835E-06,1.0
Pr-143,-5.914E-07,1.0
Ce-144,-2.822E-08,1.0
Nd-147,-7.254E-07,1.0
Pu-238,-2.503E-10,1.0
Np-239,-3.406E-06,1.0
Pu-239,-9.128E-13,1.0
Pu-240,-3.360E-12,1.0
Pu-241,-1.525E-09,1.0
Am-241,-5.082E-11,1.0
Cm-242,-4.916E-08,1.0
Cm-244,-1.213E-09,1.0
